direccion,latitud,longitud
"baamonde 27370, 27370 lugo, begonte, españa",43.17632800000001,-7.756609999999999
"baamonde 2, 27371 lugo, begonte, españa",43.17439,-7.75735
"baamonde 27371, 27371 lugo, begonte, españa",43.17632800000001,-7.756609999999999
"bade 27613, 27613 lugo, sarria, españa",42.7244854,-7.530647399999999
"calle marques de racamonde s/n, 27130 lugo, baleira, españa",43.01628789999999,-7.2458736
"carretera baleira 46, 27130 lugo, baleira, españa",43.01628789999999,-7.2458736
"xermar 1, 27376 lugo, bao cospeito, españa",43.2142309,-7.559642999999999
"hermanos diaz moreno 3, 27680 lugo, baralla, españa",42.8939504,-7.2514639
"anxel fole 60, 27680 lugo, baralla, españa",42.8921426,-7.255036400000001
"Avenida Evaristo Correa Calderón 41, 27680 lugo, baralla, españa",42.8937858,-7.250607400000001
"Avenida Evaristo Correa Calderón 70, 27680 lugo, baralla, españa",42.8933079,-7.252453600000001
"lg. francos 2, 27680 lugo, baralla, españa",42.91319559999999,-7.297661700000001
"Avenida Evaristo Correa Calderón 54, 27680 lugo, baralla, españa",42.8938294,-7.2502912
"Avenida Evaristo Correa Calderón 89, 27680 lugo, baralla, españa",42.893882,-7.251148
"calle sobrado de picato 30, 27150 viveiro, viveiro, españa",43.6642649,-7.594534800000001
"bariz 27611, 27611 lugo, paradela, españa",42.7183924,-7.6088802
"27714 barredal 2, 27714 lugo, ribadeo, españa",43.4931,-7.17041
"vila s/n, 27790 lugo, barreiros, españa",43.5379565,-7.238317800000001
"vila s/n, 27790 lugo, barreiros, españa",43.5379565,-7.2383178
"lugar as eiras 22, 27790 lugo, barreiros, españa",43.5379565,-7.238317800000001
"remior 20, 27790 lugo, barreiros, españa",43.5585938,-7.211392500000001
"vila s/ n,  lugo, barreiros, españa",43.5483256,-7.237729900000001
"rua vila 39, 27790 lugo, barreiros saa, españa",43.5418287,-7.230498499999999
"bascuas 12, 27146 lugo lugo, bascuas, españa",43.0190837,-7.4443892
"bastida 27112, 27112 lugo, a fonsagrada, españa",43.1378608,-7.083125
"bat·n 3, 27864 batan, viveiro, españa",43.61576,-7.57926
"avenida madrid 1, 27640 lugo, becerrea, españa",42.8534164,-7.161917799999999
"avenida del mercado 2, 27640 lugo, becerrea, españa",42.8519874,-7.1594903
"avenida cruz roja 25, 27640 lugo, becerrea, españa",42.8513659,-7.153817699999999
"avenida cruz roja 25, 27640 lugo, becerrea, españa",42.8513659,-7.1538177
"Avenida de Navia 34, 27640 lugo, becerrea, españa",42.85675,-7.163984
"Avenida de Navia 29, 27640 lugo, becerrea, españa",42.856232,-7.1632434
"Rúa Carlos III 28, 27640 lugo, becerrea, españa",42.8547014,-7.1631803
"samuel 8, 27640 lugo, becerrea, españa",42.8512748,-7.1655579
"Rúa Carlos III 40, 27640 lugo, becerrea, españa",42.8552838,-7.163783099999999
"Rúa Carlos III 58, 27640 lugo, becerrea, españa",42.853615,-7.1624
"voltafolgueiras 50, 27640 lugo, becerrea, españa",42.8502392,-7.1584122
"avenida madrid 1, 27640 lugo, becerrea, españa",42.8534164,-7.1619178
"avenida madrid 73, 27640 lugo, becerrea, españa",42.851622,-7.159681
"Rúa Carlos III 3 3.o a, 27640 lugo, becerrea, españa",42.8533293,-7.1624018
"anovello 4, 27640 lugo, becerrea, españa",42.8509419,-7.161497
"avenida madrid 60, 27640 lugo, becerrea, españa",42.850969,-7.159855899999999
"anovello 11, 27640 lugo, becerrea, españa",42.8507559,-7.161139299999999
"avenida madrid 36, 27640 lugo, becerrea, españa",42.8524439,-7.159959799999999
"bj. 3, 27640 lugo, becerrea, españa",42.8512748,-7.1655579
"camino real 35 pacios, 27273 lugo, begonte, españa",43.0154894,-7.561479599999999
"k. 518, 27372 lugo, begonte, españa",43.1503555,-7.684327000000001
"estr. n-vi km 5184 pol.ind.de carral, 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"pol. ind. begonte 20, 27373 lugo, begonte, españa",43.149421,-7.685453
"poligono industrial 0 48, 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"carretera de damil s/n, 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"pol. ind. begonte parcela 21, 27373 lugo, begonte, españa",43.1503555,-7.684327000000001
"calle galicia 33, 27373 lugo, begonte, españa",43.1526317,-7.688828699999999
